ID,Issue ID,Issue Title,Reported Time,Owner,Description,Category,Priority
"1","1",""Server Connection Timeout"",""2023-05-11 10:30:00"",""John"",""The server connection times out frequently","Server_Team","P2"
"2","2",""Network Slowdown"",""2023-05-11 11:15:00"",""Emily"",""The network performance is significantly slower than usual","Network_Team","P2"
"3","3",""Storage Space Exhausted"",""2023-05-11 12:00:00"",""Mark"",""The storage capacity has reached its limit","Storage_Team","P3"
"4","4",""Voice Calls Dropping"",""2023-05-11 13:30:00"",""Sarah"",""During voice calls","Voice_Team","P2"
"5","5",""Data Corruption"",""2023-05-11 14:45:00"",""Alex"",""Data integrity is compromised","Data_Team","P1"
"6","6",""Application Crashes"",""2023-05-11 15:20:00"",""Jessica"",""The application crashes randomly","Applications_Team","P2"
"7","7",""Password Reset Failure"",""2023-05-11 16:10:00"",""Michael"",""Users are unable to reset their passwords","General_Support","P2"
"8","8",""Printers Not Detected"",""2023-05-11 17:00:00"",""David"",""The printers connected to the network are not being detected by the devices."","General_Support","P2"
"9","9",""Email Delivery Delay"",""2023-05-11 17:45:00"",""Sophie"",""Emails are experiencing delays in delivery","General_Support","P2"
"10","10",""Software Compatibility Issue"",""2023-05-11 18:30:00"",""Olivia"",""The software is not compatible with the latest operating system","Applications_Team","P3"
